From;To;Type;Through;x;y;x;y;
124;118;sea;643;-1;-1;-1;-1;Kythera-Elafonisos
195;426;sea;756;-1;-1;-1;-1;Panormos-Antirrio
225;226;sea;653;-1;-1;-1;-1;Metochi-Vlichos
229;629;sea;658;-1;-1;-1;-1;Methana-Aegina
246;248;sea;658;-1;-1;-1;-1;SalamisWest
248;254;sea;658;-1;-1;-1;-1;SalamisEast
349;418;sea;671;-1;-1;-1;-1;Chalkis-Dhrosia
365;406;sea;674;-1;-1;-1;-1;Akti-Dyme
476;478;sea;776;-1;-1;-1;-1;Peratia-Narico
488;482;sea;774;-1;-1;-1;-1;Phara-Ithaki
482;483;sea;774;-1;-1;-1;-1;Ithaki-Phiskardo
494;493;sea;743;-1;-1;-1;-1;Platies-Zakynthos
1000;1001;sea;705;-1;-1;-1;-1;Euboia-Gaurion
1006;1007;sea;720;-1;-1;-1;-1;Andros-Tinos
1009;1012;sea;723;-1;-1;-1;-1;Tinos-Mykonos
1007;1014;sea;723;-1;-1;-1;-1;Tinos-Syros
1019;1016;sea;726;-1;-1;-1;-1;Keos-Maurouia
1017;1020;sea;726;-1;-1;-1;-1;Kythnos-Serifos
1020;1021;sea;726;-1;-1;-1;-1;Serifos-Sifnos
1021;1022;sea;730;-1;-1;-1;-1;Sifnos-Phylakopi
1026;1029;sea;733;-1;-1;-1;-1;Paros-Naxos
1034;1037;sea;725;-1;-1;-1;-1;Ios-Thera
629;249;sea;658;-1;-1;-1;-1;Aegina-Salamis
1033;1030;sea;733;-1;-1;-1;-1;Ios-Naxos
1030;1038;sea;881;-1;-1;-1;-1;Naxos-Amorgos
1021;1025;sea;731;-1;-1;-1;-1;Siphnos-Pounta
1033;1011;sea;725;-1;-1;-1;-1;Ios-Sikinos
1011;1041;sea;880;-1;-1;-1;-1;Sikinos-Folegandros
1019;266;sea;667;-1;-1;-1;-1;Ioulis-Lavrion
2131;2201;sea;933;-1;-1;-1;-1;
561;1042;sea;680;-1;-1;-1;-1;Magnesia
1042;1043;sea;695;-1;-1;-1;-1;
1043;1044;sea;696;-1;-1;-1;-1;
560;547;sea;678;-1;-1;-1;-1;
498;548;sea;676;-1;-1;-1;-1;northEuboia
1769;1885;sea;809;-1;-1;-1;-1;Korkyra
472;1749;sea;808;-1;-1;-1;-1;Anaktorion-
2230;2235;sea;978;-1;-1;-1;-1;
2228;2230;sea;978;-1;-1;-1;-1;
2250;2389;sea;956;-1;-1;-1;-1;LezpaEast
1276;2244;sea;948;-1;-1;-1;-1;LezpaNorth
1244;2450;sea;954;-1;-1;-1;-1;HellespontLEft
1284;2452;sea;987;-1;-1;-1;-1;HellespontMid
1264;2459;sea;954;-1;-1;-1;-1;HellespontRight
2488;1383;sea;941;-1;-1;-1;-1;Tenedos
2232;2450;sea;954;-1;-1;-1;-1;
1147;1149;sea;900;-1;-1;-1;-1;
1158;1178;sea;907;-1;-1;-1;-1;
1179;1178;sea;999;-1;-1;-1;-1;
1179;1180;sea;940;-1;-1;-1;-1;
1180;1184;sea;940;-1;-1;-1;-1;
1185;1191;sea;949;-1;-1;-1;-1;
1191;1199;sea;960;-1;-1;-1;-1;
1200;1199;sea;966;1362;3133;1369;3110;
1200;1202;sea;966;-1;-1;-1;-1;
1202;1203;sea;979;-1;-1;-1;-1;
1203;1204;sea;973;-1;-1;-1;-1;
1203;1209;sea;973;-1;-1;-1;-1;
1218;1393;sea;988;-1;-1;-1;-1;
1188;1490;sea;945;-1;-1;-1;-1;
1548;1546;sea;929;-1;-1;-1;-1;
1548;1557;sea;929;-1;-1;-1;-1;
1226;1242;sea;994;-1;-1;-1;-1;
1167;1557;sea;909;-1;-1;-1;-1;
1550;1188;sea;940;-1;-1;-1;-1;
271;421;sea;669;-1;-1;-1;-1;
1013;1031;sea;2928;-1;-1;-1;-1;
4614;4602;river_large;660;-1;-1;-1;-1;
4617;4601;river_large;660;-1;-1;-1;-1;
4591;4623;river_large;858;-1;-1;-1;-1;
4547;4623;river_large;649;-1;-1;-1;-1;
4545;4626;river_large;857;-1;-1;-1;-1;
4626;4574;river_large;829;-1;-1;-1;-1;
4545;4574;river_large;647;-1;-1;-1;-1;
4577;4553;river_large;983;-1;-1;-1;-1;
4580;4556;river_large;972;-1;-1;-1;-1;
4583;4561;river_large;713;-1;-1;-1;-1;
4586;4563;river_large;713;-1;-1;-1;-1;
4588;4573;river_large;826;-1;-1;-1;-1;
4565;4544;river_large;675;-1;-1;-1;-1;
4539;4556;river_large;672;-1;-1;-1;-1;
4550;4537;river_large;670;-1;-1;-1;-1;
4547;4591;river_large;649;-1;-1;-1;-1;
4592;4490;river_large;648;-1;-1;-1;-1;
4597;4467;river_large;835;-1;-1;-1;-1;
4608;4474;river_large;980;-1;-1;-1;-1;
4470;4481;river_large;836;-1;-1;-1;-1;
4514;4478;river_large;860;-1;-1;-1;-1;
4484;4505;river_large;798;-1;-1;-1;-1;
4502;4492;river_large;796;-1;-1;-1;-1;
4513;4536;river_large;962;-1;-1;-1;-1;
4532;4511;river_large;871;-1;-1;-1;-1;
4523;4501;river_large;868;-1;-1;-1;-1;
2261;345;river_large;833;-1;-1;-1;-1;
2274;244;river_large;4448;-1;-1;-1;-1;
570;2286;river_large;4449;-1;-1;-1;-1;
1131;2573;river_large;4449;-1;-1;-1;-1;
1119;2576;river_large;4450;-1;-1;-1;-1;
1163;1363;river_large;4452;-1;-1;-1;-1;
1399;1619;river_large;4452;-1;-1;-1;-1;
1667;1663;river_large;4453;-1;-1;-1;-1;
1629;1643;river_large;4454;-1;-1;-1;-1;
1588;1647;river_large;4455;-1;-1;-1;-1;
1532;1374;river_large;4455;-1;-1;-1;-1;
2313;1362;river_large;4456;-1;-1;-1;-1;
2306;1347;river_large;4457;-1;-1;-1;-1;
2331;1259;river_large;4457;-1;-1;-1;-1;
1227;2479;river_large;4458;-1;-1;-1;-1;
1302;2485;river_large;4459;-1;-1;-1;-1;
1325;2302;river_large;4460;-1;-1;-1;-1;
1321;2290;river_large;4461;-1;-1;-1;-1;
2376;1343;river_large;4462;-1;-1;-1;-1;
2371;1232;river_large;4463;-1;-1;-1;-1;
2342;2257;river_large;4464;2417;883;2428;870;
4725;3799;sea;736;-1;-1;-1;-1;
1412;1494;sea;665;-1;-1;-1;-1;
3794;2334;sea;766;-1;-1;-1;-1;
4591;4498;river_large;649;-1;-1;-1;-1;
4500;4537;river_large;897;-1;-1;-1;-1;
4537;4523;river_large;679;-1;-1;-1;-1;
4539;4525;river_large;679;-1;-1;-1;-1;
4544;4535;river_large;947;-1;-1;-1;-1;
4620;4594;river_large;661;-1;-1;-1;-1;
4597;4488;river_large;835;-1;-1;-1;-1;
4488;4467;river_large;734;-1;-1;-1;-1;
2543;1154;river_large;4451;-1;-1;-1;-1;
2328;1233;river_large;4458;-1;-1;-1;-1;
4548;4498;river_large;897;-1;-1;-1;-1;
4526;4504;river_large;673;-1;-1;-1;-1;
2301;1210;river_large;4462;-1;-1;-1;-1;
4498;4490;river_large;796;-1;-1;-1;-1;
4541;4531;river_large;677;-1;-1;-1;-1;
4541;4558;river_large;969;-1;-1;-1;-1;
2268;2357;river_large;4465;-1;-1;-1;-1;
6059;6693;river_large;6749;4379;2386;4362;2387;
6059;5946;river_large;6749;4379;2386;4378;2402;
5946;6693;river_large;6749;4378;2402;4362;2387;
6092;6060;river_large;6748;4378;2355;4377;2371;
6092;6098;river_large;6748;4378;2355;4362;2365;
6102;6088;river_large;6776;-1;-1;-1;-1;
6084;6105;river_large;6746;4414;2249;4413;2232;
6084;6077;river_large;6746;4414;2249;4428;2241;
6105;6077;river_large;6746;4413;2232;4428;2241;
6083;6033;river_large;6745;4491;2216;4509;2211;
6083;6109;river_large;6745;4491;2216;4498;2198;
6033;6109;river_large;6745;4509;2211;4498;2198;
6046;6074;river_large;6752;4462;2296;4458;2278;
6046;6040;river_large;6752;4462;2296;4474;2284;
6074;6040;river_large;6752;4458;2278;4474;2284;
6069;6091;river_large;6747;4413;2322;4399;2327;
6069;6057;river_large;6747;4413;2322;4409;2340;
6091;6057;river_large;6747;4399;2327;4409;2340;
6193;6052;river_large;6751;4458;2354;4440;2358;
6193;5950;river_large;6751;4458;2354;4456;2369;
6052;5950;river_large;6751;4440;2358;4456;2369;
6000;6036;river_large;6753;4549;2258;4543;2241;
6036;6002;river_large;6753;4543;2241;4562;2244;
6000;6001;river_large;6754;4550;2264;4564;2268;
6000;6068;river_large;6754;4550;2264;4548;2280;
5956;6001;river_large;6754;4564;2286;4564;2268;
5956;6068;river_large;6754;4564;2286;4548;2280;
6026;6114;river_large;6744;4594;2148;4589;2128;
6026;6017;river_large;6744;4594;2148;4607;2135;
6114;6017;river_large;6744;4589;2128;4607;2135;
6176;6118;river_large;6743;4656;2080;4651;2066;
6176;5977;river_large;6743;4656;2080;4664;2068;
6118;5977;river_large;6743;4651;2066;4664;2068;
5995;6118;river_large;6742;4669;2041;4655;2053;
5995;5977;river_large;6742;4669;2041;4671;2057;
5993;6124;river_large;6741;-1;-1;-1;-1;
5993;5975;river_large;6741;-1;-1;-1;-1;
6124;5975;river_large;6741;-1;-1;-1;-1;
5981;5965;river_large;6755;4685;2134;4693;2151;
5981;6015;river_large;6755;4685;2134;4671;2147;
5965;6015;river_large;6755;4693;2151;4671;2147;
5722;6200;river_large;6787;-1;-1;-1;-1;
6684;5940;river_large;6786;-1;-1;-1;-1;
6094;5942;river_large;6785;-1;-1;-1;-1;
6096;5944;river_large;6784;-1;-1;-1;-1;
6071;6087;river_large;6779;-1;-1;-1;-1;
6080;6038;river_large;6775;-1;-1;-1;-1;
6039;6043;river_large;6769;-1;-1;-1;-1;
6045;6064;river_large;6783;-1;-1;-1;-1;
6063;5953;river_large;6768;-1;-1;-1;-1;
6009;5961;river_large;6765;-1;-1;-1;-1;
5984;5969;river_large;6756;-1;-1;-1;-1;
5983;5967;river_large;6758;-1;-1;-1;-1;
5998;6121;river_large;6760;-1;-1;-1;-1;
5979;6023;river_large;6762;-1;-1;-1;-1;
6175;6152;river_large;6789;-1;-1;-1;-1;
6148;6170;river_large;6790;-1;-1;-1;-1;
6144;6165;river_large;6792;-1;-1;-1;-1;
6163;6142;river_large;6793;-1;-1;-1;-1;
6139;6160;river_large;6794;-1;-1;-1;-1;
6156;6135;river_large;6796;-1;-1;-1;-1;
6126;6133;river_large;6797;-1;-1;-1;-1;
5899;6130;river_large;6798;-1;-1;-1;-1;
6651;6128;river_large;6799;-1;-1;-1;-1;
6396;6401;river_large;6812;-1;-1;-1;-1;
6375;6367;river_large;6814;-1;-1;-1;-1;
5972;5971;river_large;6756;-1;-1;-1;-1;
2637;1807;sea;6826;-1;-1;-1;-1;
1995;1563;sea;6816;-1;-1;-1;-1;
1995;6889;sea;6816;-1;-1;-1;-1;
2429;6889;sea;6816;-1;-1;-1;-1;
6316;6180;sea;6803;-1;-1;-1;-1;
5666;10;sea;6822;-1;-1;-1;-1;
1453;119;sea;6822;-1;-1;-1;-1;
2204;2637;sea;6826;-1;-1;-1;-1;
2141;193;sea;6828;-1;-1;-1;-1;
2074;1804;sea;6829;-1;-1;-1;-1;
6112;6029;river_large;6772;4562;2168;4563;2184;
6028;6008;river_large;6770;4587;2180;4599;2190;
6022;6116;river_large;6763;4618;2087;4636;2089;
6155;6178;river_large;6788;-1;-1;-1;-1;
-1;-1;;-1;-1
